Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Theme,Year
The Goring,London,England,Europe,The Goring Family,97.57,56,69,Palace,1910
The Lodge & Spa at Brush Creek Ranch,Wyoming,United States,North America,Bruce and Beth White,97.56,57,44,Nature,2010
Taj Palace,New Delhi,India,Southeast Asia,India Hotels Company Limited,97.56,57,403,Palace,1903
St. Regis Florence,Florence,Italy,Europe,Marriott International,97.52,59,99,Palace,1855
Mandarin Oriental Paris,Paris,France,Europe,Jardine Matheson,97.5,60,135,Contemporary ,2011
Matetsi Victoria Falls,Matetsi,Zimbabwe,Africa,John Gardiner,97.5,60,18,Safari,2016
Round Hill Hotel and Villas,Montego Bay,Jamaica,Caribbean,Ralph Lauren,97.49,62,36,Coastal,1952
Khwai River Lodge,Moremi Game Reserve,Botswana,Africa,LVMH,97.47,63,15,Safari,1971
Soneva Jani,Noonu Atoll,Maldives,Southeast Asia,Soneva,97.45,64,24,Island,2016
The Oberoi Amarvilas,Agra,India,Southeast Asia,The Oberoi Group,97.44,65,102,Palace,2000
Inn of the Five Graces,Santa Fe,United States,North America,Relais & Ch�teaux,97.41,66,25,Contemporary ,1996
"Zadun, a Ritz-Carlton Reserve",San Jos� del Cabo,Mexico,Latin America,Marriott International,97.41,66,115,Coastal,2019
Mfuwe Lodge,South Luangwa National Park,Zambia,Africa,The Bushcamp Company,97.33,68,18,Safari,1956
InterContinental Bora Bora Resort & Thalasso Spa,Bora Bora,French Polynesia,Oceania,InterContinental Hotels Group,97.33,68,84,Island,2006
Banyan Tree Cabo Marqu�s,Acapulco,Mexico,Latin America,Banyan Tree Holdings Limited,97.3,70,45,Coastal,2009
Ngala Safari Lodge,Kruger National Park Area,South Africa,Africa,andBeyond,97.26,71,20,Safari,2020
Sasaab,Samburu,Kenya,Africa,The Safari Collection,97.26,71,9,Safari,2007
The Sukhothai Bangkok,Bangkok,Thailand,Southeast Asia,HKR International,97.25,73,210,Palace,1991
The Oberoi Grand,Kolkata,India,Southeast Asia,The Oberoi Group,97.2,74,209,Palace,1890
H�tel Plaza Ath�n�e,Paris,France,Europe,Brunei Investment Agency,97.18,75,154,Palace,1913
Mahekal Beach Resort,Playa del Carmen,Mexico,Latin America,Mahekal Beach Resort,97.12,76,196,Coastal,1982
The Fullerton Hotel Singapore,Singapore,Singapore,Southeast Asia,Precious Treasure Pte,97.11,77,400,Palace,2001
Jade Mountain,Soufri�re,St. Lucia,Caribbean,Nick Troubetzkoy,97.1,78,79,Nature,2006
Casa Chameleon,Las Catalinas,Costa Rica,Caribbean,Nolan Reynolds International,97.05,79,21,Coastal,2020
H�tel Crillon Le Brave,Crillon-le-Brave,France,Europe,Maisons Pariente,97,80,34,Nature,1988
Le Bristol Paris,Paris,France,Europe,Oetker Collection,97,80,190,Palace,1925
"Mandapa, a Ritz-Carlton Reserve",Bali,Indonesia,Southeast Asia,Marriott International,97,80,60,Nature,2015
Six Senses Laamu,Laamu Atoll,Maldives,Southeast Asia,Hotel Properties Limited,97,80,97,Island,2011
Waldorf Astoria Maldives Ithaafushi,Ithaafushi Island,Maldives,Southeast Asia,Hilton,97,80,119,Island,2019
The Wickaninnish Inn,British Columbia,Canada,North America,Wickaninnish Inn Ltd,97,80,75,Coastal,1996
Penha Longa Resort,Sintra,Portugal,Europe,Marriott International,96.94,86,44,Nature,1993
The St. Regis Bora Bora Resort,Bora Bora,French Polynesia,Oceania,Marriott International,96.89,87,90,Island,2006
Lion Sands Game Reserve,Sabi Sand Game Reserve ,South Africa,Africa,MORE Family Collection,96.87,88,18,Safari,1933
Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.87,88,78,Palace,1835
The Oyster Box,Umhlanga,South Africa,Africa,The Travel Corporation,96.85,90,86,Coastal,1947
The Stafford,London,England,Europe,Britannia Hospitality Limited,96.75,91,107,Contemporary ,1912
"Tambo del Inka, a Luxury Collection Resort & Spa",Urubamba ,Peru,Latin America,Marriott International,96.74,92,128,Nature,2010
Cap Maison,Gros Islet,St. Lucia,Caribbean,Cap Maison Limited,96.73,93,49,Coastal,2008
Tensing Pen,Negril,Jamaica,Caribbean,Sam Petros,96.73,93,22,Coastal,1975
H�tel Le Toiny,Anse de Toiny,St. Barth�lemy,Caribbean, Charlie and Mandie Vere Nicoll,96.71,95,22,Coastal,1992
Rosewood Mayakoba,Playa del Carmen,Mexico,Latin America,Rosewood Hotel Group ,96.7,96,129,Coastal,2007
Canaves Oia Boutique Hotel,Santorini,Greece,Europe,The Chaidemenos' Family,96.69,97,18,Coastal,1995
Montage Los Cabos,Cabo San Lucas,Mexico,Latin America,Montage International,96.68,98,122,Coastal,2018
Badrutt's Palace Hotel,St. Moritz,Switzerland,Europe,Hansj�rg and Anik� Badrutt.,96.67,99,157,Nature,1896
Finca Cortesin Hotel Golf & Spa,M�laga,Spain,Europe,Finca Cortesin,96.63,100,67,Nature,2009
